date,value
05/01/2022,9.25
04/01/2022,9.25
03/01/2022,9.25
02/01/2022,9.25
01/01/2022,9.25
31/12/2021,9.25
30/12/2021,9.25
29/12/2021,9.25
28/12/2021,9.25
27/12/2021,9.25
26/12/2021,9.25
25/12/2021,9.25
24/12/2021,9.25
23/12/2021,9.25
22/12/2021,9.25
21/12/2021,9.25
20/12/2021,9.25
19/12/2021,9.25
18/12/2021,9.25
17/12/2021,9.25
16/12/2021,9.25
15/12/2021,9.25
14/12/2021,9.25
13/12/2021,9.25
12/12/2021,9.25
11/12/2021,9.25
10/12/2021,9.25
09/12/2021,9.25
08/12/2021,7.75
07/12/2021,7.75
06/12/2021,7.75
05/12/2021,7.75
04/12/2021,7.75
03/12/2021,7.75
02/12/2021,7.75
01/12/2021,7.75
30/11/2021,7.75
29/11/2021,7.75
28/11/2021,7.75
27/11/2021,7.75
26/11/2021,7.75
25/11/2021,7.75
24/11/2021,7.75
23/11/2021,7.75
22/11/2021,7.75
21/11/2021,7.75
20/11/2021,7.75
19/11/2021,7.75
18/11/2021,7.75
17/11/2021,7.75
16/11/2021,7.75
15/11/2021,7.75
14/11/2021,7.75
13/11/2021,7.75
12/11/2021,7.75
11/11/2021,7.75
10/11/2021,7.75
09/11/2021,7.75
08/11/2021,7.75
07/11/2021,7.75
06/11/2021,7.75
05/11/2021,7.75
04/11/2021,7.75
03/11/2021,7.75
02/11/2021,7.75
01/11/2021,7.75
31/10/2021,7.75
30/10/2021,7.75
29/10/2021,7.75
28/10/2021,7.75
27/10/2021,6.25
26/10/2021,6.25
25/10/2021,6.25
24/10/2021,6.25
23/10/2021,6.25
22/10/2021,6.25
21/10/2021,6.25
20/10/2021,6.25
19/10/2021,6.25
18/10/2021,6.25
17/10/2021,6.25
16/10/2021,6.25
15/10/2021,6.25
14/10/2021,6.25
13/10/2021,6.25
12/10/2021,6.25
11/10/2021,6.25
10/10/2021,6.25
09/10/2021,6.25
08/10/2021,6.25
07/10/2021,6.25
06/10/2021,6.25
05/10/2021,6.25
04/10/2021,6.25
03/10/2021,6.25
02/10/2021,6.25
01/10/2021,6.25
30/09/2021,6.25
29/09/2021,6.25
28/09/2021,6.25
27/09/2021,6.25
26/09/2021,6.25
25/09/2021,6.25
24/09/2021,6.25
23/09/2021,6.25
22/09/2021,5.25
21/09/2021,5.25
20/09/2021,5.25
19/09/2021,5.25
18/09/2021,5.25
17/09/2021,5.25
